CHIP,,,,MEM
PIC18F24j10,0x3FF8,0x3FFD,3FF8,16376
PIC18F24j11,0x3FF8,0x3FFF,3FF8,16376
PIC18F24j50,0x3FF8,0x3FFF,3FF8,16376
PIC18F25j10,0x7FF8,0x7FFD,7FF8,32760
PIC18F25j11,0x7FF8,0x7FFF,7FF8,32760
PIC18F25j50,0x7FF8,0x7FFF,7FF8,32760
PIC18F26j11,0xFFF8,0xFFFF,FFF8,65528
PIC18F26j13,0xFFF8,0xFFFF,FFF8,65528
PIC18F26j50,0xFFF8,0xFFFF,FFF8,65528
PIC18F26j53,0xFFF8,0xFFFF,FFF8,65528
PIC18F27j13,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F27j53,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F44j10,0x3FF8,0x3FFD,3FF8,16376
PIC18F44j11,0x3FF8,0x3FFF,3FF8,16376
PIC18F44j50,0x3FF8,0x3FFF,3FF8,16376
PIC18F45j10,0x7FF8,0x7FFD,7FF8,32760
PIC18F45j11,0x7FF8,0x7FFF,7FF8,32760
PIC18F45j50,0x7FF8,0x7FFF,7FF8,32760
PIC18F46j11,0xFFF8,0xFFFF,FFF8,65528
PIC18F46j13,0xFFF8,0xFFFF,FFF8,65528
PIC18F46j50,0xFFF8,0xFFFF,FFF8,65528
PIC18F46j53,0xFFF8,0xFFFF,FFF8,65528
PIC18F47j13,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F47j53,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F63j11,0x1FF8,0x1FFD,1FF8,8184
PIC18F63j90,0x1FF8,0x1FFD,1FF8,8184
PIC18F64j11,0x3FF8,0x3FFD,3FF8,16376
PIC18F64j90,0x3FF8,0x3FFD,3FF8,16376
PIC18F65j10,0x7FF8,0x7FFD,7FF8,32760
PIC18F65j11,0x7FF8,0x7FFD,7FF8,32760
PIC18F65j15,0xBFF8,0xBFFD,BFF8,49144
PIC18F65j50,0x7FF8,0x7FFD,7FF8,32760
PIC18F65j90,0x7FF8,0x7FFD,7FF8,32760
PIC18F65j94,0x7FF0,0x7FFF,0,0
PIC18F66j10,0xFFF8,0xFFFD,FFF8,65528
PIC18F66j11,0xFFF8,0xFFFD,FFF8,65528
PIC18F66j15,0x17FF8,0x17FFD,17FF8,98296
PIC18F66j16,0x17FF8,0x17FFD,17FF8,98296
PIC18F66j50,0xFFF8,0xFFFD,FFF8,65528
PIC18F66j55,0x17FF8,0x17FFD,17FF8,98296
PIC18F66j60,0xFFF8,0xFFFD,FFF8,65528
PIC18F66j65,0x17FF8,0x17FFD,17FF8,98296
PIC18F66j90,0xFFF8,0xFFFF,FFF8,65528
PIC18F66j93,0xFFF8,0xFFFF,FFF8,65528
PIC18F66j94,0xFFF0,0xFFFF,FFF8,65528
PIC18F66j99,0x17FF0,0x17FFF,0,0
PIC18F67j10,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F67j11,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F67j50,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F67j60,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F67j90,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F67j93,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F67j94,0x1FFF0,0x1FFFF,1FFE2,131042
PIC18F83j11,0x1FF8,0x1FFD,1FF8,8184
PIC18F83j90,0x1FF8,0x1FFD,1FF8,8184
PIC18F84j11,0x3FF8,0x3FFD,3FF8,16376
PIC18F84j90,0x3FF8,0x3FFD,3FF8,16376
PIC18F85j10,0x7FF8,0x7FFD,7FF8,32760
PIC18F85j11,0x7FF8,0x7FFD,7FF8,32760
PIC18F85j15,0xBFF8,0xBFFD,BFF8,49144
PIC18F85j50,0x7FF8,0x7FFD,7FF8,32760
PIC18F85j90,0x7FF8,0x7FFD,7FF8,32760
PIC18F85j94,0x7FF0,0x7FFF,0,0
PIC18F86j10,0xFFF8,0xFFFD,FFF8,65528
PIC18F86j11,0xFFF8,0xFFFD,FFF8,65528
PIC18F86j15,0x17FF8,0x17FFD,17FF8,98296
PIC18F86j16,0x17FF8,0x17FFD,17FF8,98296
PIC18F86j50,0xFFF8,0xFFFD,FFF8,65528
PIC18F86j55,0x17FF8,0x17FFD,17FF8,98296
PIC18F86j60,0xFFF8,0xFFFD,FFF8,65528
PIC18F86j65,0x17FF8,0x17FFD,17FF8,98296
PIC18F86j72,0xFFF8,0xFFFF,FFF8,65528
PIC18F86j90,0xFFF8,0xFFFF,FFF8,65528
PIC18F86j93,0xFFF8,0xFFFF,FFF8,65528
PIC18F86j94,0xFFF0,0xFFFF,FFF8,65528
PIC18F86j99,0x17FF0,0x17FFF,0,0
PIC18F87j10,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F87j11,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F87j50,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F87j60,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F87j72,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F87j90,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F87j93,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18F87j94,0x1FFF0,0x1FFFF,1FFE2,131042
PIC18F95j94,0x7FF0,0x7FFF,0,0
PIC18F96j60,0xFFF8,0xFFFD,FFF8,65528
PIC18F96j65,0x17FF8,0x17FFD,17FF8,98296
PIC18F96j94,0xFFF0,0xFFFF,FFF8,65528
PIC18F96j99,0x17FF0,0x17FFF,0,0
PIC18F97j60,0x1FFF8,0x1FFFD,1FFF0,131056
PIC18F97j94,0x1FFF0,0x1FFFF,1FFE2,131042
PIC18LF24j10,0x3FF8,0x3FFD,3FF8,16376
PIC18LF24j11,0x3FF8,0x3FFF,3FF8,16376
PIC18LF24j50,0x3FF8,0x3FFF,3FF8,16376
PIC18LF25j10,0x7FF8,0x7FFD,7FF8,32760
PIC18LF25j11,0x7FF8,0x7FFF,7FF8,32760
PIC18LF25j50,0x7FF8,0x7FFF,7FF8,32760
PIC18LF26j11,0xFFF8,0xFFFF,FFF8,65528
PIC18LF26j13,0xFFF8,0xFFFF,FFF8,65528
PIC18LF26j50,0xFFF8,0xFFFF,FFF8,65528
PIC18LF26j53,0xFFF8,0xFFFF,FFF8,65528
PIC18LF27j13,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18LF27j53,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18LF44j10,0x3FF8,0x3FFD,3FF8,16376
PIC18LF44j11,0x3FF8,0x3FFF,3FF8,16376
PIC18LF44j50,0x3FF8,0x3FFF,3FF8,16376
PIC18LF45j10,0x7FF8,0x7FFD,7FF8,32760
PIC18LF45j11,0x7FF8,0x7FFF,7FF8,32760
PIC18LF45j50,0x7FF8,0x7FFF,7FF8,32760
PIC18LF46j11,0xFFF8,0xFFFF,FFF8,65528
PIC18LF46j13,0xFFF8,0xFFFF,FFF8,65528
PIC18LF46j50,0xFFF8,0xFFFF,FFF8,65528
PIC18LF46j53,0xFFF8,0xFFFF,FFF8,65528
PIC18LF47j13,0x1FFF8,0x1FFFF,1FFF0,131056
PIC18LF47j53,0x1FFF8,0x1FFFF,1FFF0,131056
