Chip	MaxIntOSC	Status - Database?
PIC18f1230	32	
PIC18f1330	32	
PIC18f13k50	32	
PIC18f14k50	32	
PIC18f2221	32	
PIC18f2321	32	
PIC18f2410	32	
PIC18f2420	32	
PIC18f2423	32	
PIC18f2480	32	
PIC18f24j10	As is	
PIC18f24j11	32	
PIC18f24j50	32	
PIC18f24k50	48	
PIC18f2510	32	
PIC18f2515	32	
PIC18f2520	32	
PIC18f2523	32	
PIC18f2525	32	Done
PIC18f2580	32	
PIC18f2585	32	
PIC18f25j10	As is	
PIC18f25j11	32	
PIC18f25j50	32	
PIC18f25k50	48	
PIC18f2610	32	
PIC18f2620	32	Done
PIC18f2680	32	
PIC18f2682	32	
PIC18f2685	32	
PIC18f26j11	32	
PIC18f26j13	48	
PIC18f26j50	32	
PIC18f26j53	48	
PIC18f27j13	48	
PIC18f27j53	48	
PIC18f4221	32	
PIC18f4321	32	
PIC18f4410	32	
PIC18f4420	32	
PIC18f4423	32	
PIC18f4480	32	
PIC18f44j10	As is	
PIC18f44j11	32	
PIC18f44j50	32	
PIC18f4510	32	
PIC18f4515	32	
PIC18f4520	32	
PIC18f4523	32	
PIC18f4525	32	Done
PIC18f4580	32	
PIC18f4585	32	
PIC18f45j10	As is	
PIC18f45j11	32	
PIC18f45j50	32	
PIC18f45k50	48	
PIC18f4610	32	
PIC18f4620	32	Done
PIC18f4680	32	
PIC18f4682	32	
PIC18f4685	32	
PIC18f46j11	32	
PIC18f46j13	48	
PIC18f46j50	32	
PIC18f46j53	48	
PIC18f47j13	48	
PIC18f47j53	48	
PIC18f6310	32	
PIC18f6390	32	
PIC18f6393	32	
PIC18f63j11	32	
PIC18f63j90	8	
PIC18f6410	32	
PIC18f6490	32	
PIC18f6493	32	
PIC18f64j11	32	
PIC18f64j90	8	
PIC18f6525	leave	
PIC18f6527	32	
PIC18f6585	??	
PIC18f65j10	As is	
PIC18f65j11	32	
PIC18f65j15	As is	
PIC18f65j50	32	
PIC18f65j90	8	
PIC18f65k90	16	
PIC18f6621	??	
PIC18f6622	32	
PIC18f6627	32	
PIC18f6628	??	
PIC18f6680	32	
PIC18f66j10	As is	
PIC18f66j11	32	
PIC18f66j15	As is	
PIC18f66j16	32	
PIC18f66j50	32	
PIC18f66j55	32	
PIC18f66j60	??	
PIC18f66j65	??	
PIC18f66j90	32	
PIC18f66j93	32	
PIC18f66k90	16	
PIC18f6722	32	
PIC18f6723	32	
PIC18f67j10	As is	
PIC18f67j11	32	
PIC18f67j50	32	
PIC18f67j60	??	
PIC18f67j90	32	
PIC18f67j93	32	
PIC18f67j94	64	
PIC18f67k90	16	
PIC18f8310	32	
PIC18f8390	32	
PIC18f8393	32	
PIC18f83j11	32	
PIC18f83j90	8	
PIC18f8410	32	
PIC18f8490	32	
PIC18f8493	32	
PIC18f84j11	32	
PIC18f84j90	8	
PIC18f8525	leave	
PIC18f8527	32	
PIC18f8585	??	
PIC18f85j10	As is	
PIC18f85j11	32	
PIC18f85j15	As is	
PIC18f85j50	32	
PIC18f85j90	8	
PIC18f85k90	16	
PIC18f8621	?#	
PIC18f8622	32	
PIC18f8627	32	
PIC18f8628	??	
PIC18f8680	32	
PIC18f86j10	As is	
PIC18f86j11	32	
PIC18f86j15	As is	
PIC18f86j16	32	
PIC18f86j50	32	
PIC18f86j55	32	
PIC18f86j60	??	
PIC18f86j65	??	
PIC18f86j72	32	
PIC18f86j90	32	
PIC18f86j93	32	
PIC18f86k90	16	
PIC18f8722	32	
PIC18f8723	32	
PIC18f87j10	As is	
PIC18f87j11	32	
PIC18f87j50	32	
PIC18f87j60	??	
PIC18f87j72	32	
PIC18f87j90	32	
PIC18f87j93	32	
PIC18f87j94	64	
PIC18f87k90	16	
PIC18f96j60	??	
PIC18f96j65	??	
PIC18f97j60	??	
PIC18f97j94	64	
